contentSize,gender,titleCount,wasShared,imageLevel,relevancy,videos,isWeekend,browser,readTime,channels
77516,Male,4,no,blurred,yes,high,yes,firefox,4,business
83311,Male,5,no,noImage,no,low,yes,firefox,1.3,entertainment
215646,Male,4,no,noImage,yes,high,no,firefox,4,sports
234721,Male,5,no,noImage,no,high,yes,edge,4,sports
338409,Female,3,no,noImage,maybe,high,yes,edge,4,sports
284582,Female,4,no,noImage,maybe,low,yes,firefox,4,sports
160187,Female,5,no,noImage,yes,high,yes,edge,1.6,sports
209642,Male,5,yes,noImage,no,low,no,firefox,4.5,entertainment
45781,Female,3,yes,high,yes,high,yes,firefox,5,sports
159449,Male,4,yes,low,no,low,yes,firefox,4,sports
280464,Male,4,yes,noImage,no,low,no,edge,8,sports
141297,Male,3,yes,noImage,no,high,yes,opera,4,business
122272,Female,2,no,noImage,yes,high,yes,firefox,3,sports
205019,Male,3,no,noImage,yes,medium,yes,edge,5,sports
121772,Male,4,yes,noImage,no,high,yes,opera,4,sports
245487,Male,3,no,noImage,no,high,no,opera,4.5,sports
176756,Male,3,no,noImage,yes,high,no,firefox,3.5,entertainment
186824,Male,3,no,noImage,yes,high,no,firefox,4,sports
28887,Male,4,no,noImage,no,medium,yes,firefox,5,sports
292175,Female,4,yes,noImage,yes,low,yes,firefox,4.5,entertainment
193524,Male,4,yes,noImage,no,high,yes,firefox,6,sports
302146,Female,5,no,noImage,yes,high,no,edge,2,sports
76845,Male,4,no,noImage,no,high,yes,edge,4,business
117037,Male,4,no,noImage,no,high,yes,firefox,4,sports
109015,Female,6,no,noImage,yes,medium,no,firefox,4,sports
216851,Male,6,yes,noImage,no,medium,yes,firefox,4,news
168294,Male,2,no,noImage,yes,high,no,firefox,4,sports
180211,Male,5,yes,noImage,no,high,no,opera,6,lifestyle
367260,Male,4,no,noImage,yes,low,no,firefox,8,sports
193366,Male,5,no,noImage,no,high,no,firefox,4,sports
190709,Male,2,no,noImage,yes,high,yes,firefox,5.2,news
266015,Male,2,no,noImage,yes,medium,no,edge,4.4,sports
386940,Male,5,no,noImage,yes,low,yes,firefox,4,sports
59951,Male,3,no,noImage,yes,high,no,firefox,4,business
311512,Male,2,no,noImage,no,high,no,edge,1.5,business
242406,Male,5,no,noImage,yes,high,yes,firefox,4,sports
197200,Male,2,no,noImage,yes,high,no,firefox,4,sports
544091,Female,2,no,noImage,maybe,high,no,firefox,2.5,sports
